match_no,Bowler,team,over,run,wicket,No_ball,ECO
15,Mark Wood,Lucknow Super Giants,4,32,1,0,8
15,Ravi Bishnoi,Lucknow Super Giants,4,39,0,0,9.8
15,Amit Mishra,Lucknow Super Giants,2,18,1,0,9
15,Mohammed Siraj,Royal Challengers Bangalore,4,22,3,0,5.5
15,David Willey,Royal Challengers Bangalore,4,32,0,0,8
15,Wayne Parnell,Royal Challengers Bangalore,4,41,3,0,10.2
15,Harshal Patel,Royal Challengers Bangalore,4,48,2,0,12
15,Karn Sharma,Royal Challengers Bangalore,3,48,1,0,16
15,Shahbaz Ahmed,Royal Challengers Bangalore,1,15,0,0,15
16,Jason Behrendorff,Mumbai Indians,3,23,3,0,7.7
16,Arshad Khan,Mumbai Indians,1,12,0,0,12
16,Cameron Green,Mumbai Indians,3,30,0,0,10
16,Hrithik Shokeen,Mumbai Indians,4,43,1,1,10.8
16,Riley Meredith,Mumbai Indians,3.4,34,2,1,9.3
16,Piyush Chawla,Mumbai Indians,4,22,3,0,5.5
16,Tilak Varma,Mumbai Indians,1,7,0,0,7
16,Mukesh Kumar,Delhi Capitals,2,30,2,0,15
16,Mustafizur Rahman,Delhi Capitals,4,38,1,0,9.5
16,Anrich Nortje,Delhi Capitals,4,35,0,0,8.8
16,Lalit Yadav,Delhi Capitals,4,23,0,0,5.8
16,Axar Patel,Delhi Capitals,4,20,0,0,5
16,Kuldeep Yadav,Delhi Capitals,2,23,0,0,11.5
17,Akash Singh,Chennai Super Kings,4,40,2,0,10
17,Tushar Deshpande,Chennai Super Kings,4,37,2,0,9.2
17,Maheesh Theekshana,Chennai Super Kings,4,42,0,0,10.5
17,Ravindra Jadeja,Chennai Super Kings,4,21,2,0,5.2
17,Moeen Ali,Chennai Super Kings,2,21,1,0,10.5
17,Sisanda Magala,Chennai Super Kings,2,14,0,0,7
17,Sandeep Sharma,Rajasthan Royals,3,30,1,0,10
17,Kuldeep Sen,Rajasthan Royals,2,8,0,0,4
17,Jason Holder,Rajasthan Royals,3,37,0,0,12.3
17,Adam Zampa,Rajasthan Royals,4,43,1,0,10.8
17,Ravichandran Ashwin,Rajasthan Royals,4,25,2,0,6.2
17,Yuzvendra Chahal,Rajasthan Royals,4,27,2,0,6.8
18,Mohammed Shami,Gujarat Titans,4,44,1,0,11
18,Joshua Little,Gujarat Titans,4,31,1,0,7.8
18,Alzarri Joseph,Gujarat Titans,4,32,1,0,8
18,Mohit Sharma,Gujarat Titans,4,26,1,0,6.5
18,Rashid Khan,Gujarat Titans,4,18,2,0,4.5
18,Arshdeep Singh,Punjab Kings,4,33,1,0,8.2
18,Kagiso Rabada,Punjab Kings,4,36,1,0,9
18,Harpreet Brar,Punjab Kings,4,20,1,0,5
18,Sam Curran,Punjab Kings,3.5,25,1,0,6.5
18,Rahul Chahar,Punjab Kings,3,24,0,0,8
18,Matthew Short,Punjab Kings,1,8,0,0,8
19,Umesh Yadav,Kolkata Knight Riders,3,42,0,0,14
19,Lockie Ferguson,Kolkata Knight Riders,2,37,0,1,18.5
19,Sunil Narine,Kolkata Knight Riders,4,28,0,0,7
19,Andre Russell,Kolkata Knight Riders,2.1,22,3,0,10.2
19,Varun Chakaravarthy,Kolkata Knight Riders,4,41,1,0,10.2
19,Suyash Sharma,Kolkata Knight Riders,4,44,0,0,11
19,Shardul Thakur,Kolkata Knight Riders,0.5,14,0,0,16.8
